"season","posteam","pass_attempts","rush_attempts","pass_yards","rush_yards","pass_run_ratio","third_down_attempts","third_down_conversions","fourth_down_attempts","fourth_down_conversions","total_late_attempts","total_late_conversions","conversion_rate","dropbacks","sacks","sack_rate","success_plays","total_plays","success_rate"
2018,"ARI",593,341,2884,1350,1.73900293255132,203,61,16,6,219,67,0.305936073059361,593,52,0.0876897133220911,333,934,0.356531049250535
2018,"ATL",713,339,4949,1580,2.10324483775811,215,100,20,11,235,111,0.472340425531915,713,42,0.05890603085554,490,1052,0.465779467680608
2018,"BAL",688,538,3902,2548,1.27881040892193,257,118,27,16,284,134,0.471830985915493,688,39,0.0566860465116279,552,1226,0.450244698205546
2018,"BUF",639,414,3052,1993,1.54347826086957,229,78,18,7,247,85,0.34412955465587,639,41,0.0641627543035994,398,1053,0.377967711301045
2018,"CAR",660,381,4071,2152,1.73228346456693,197,87,21,10,218,97,0.444954128440367,660,32,0.0484848484848485,499,1041,0.479346781940442
2018,"CHI",678,443,4050,2021,1.53047404063205,230,97,16,10,246,107,0.434959349593496,678,35,0.051622418879056,517,1121,0.461195361284567
2018,"CIN",650,341,3569,1688,1.90615835777126,206,78,20,10,226,88,0.389380530973451,650,37,0.0569230769230769,431,991,0.434914228052472
2018,"CLE",686,387,4261,1905,1.77260981912145,215,81,23,9,238,90,0.378151260504202,686,38,0.0553935860058309,459,1073,0.427772600186393
2018,"DAL",728,464,4377,2195,1.56896551724138,252,101,27,16,279,117,0.419354838709677,728,58,0.0796703296703297,523,1192,0.438758389261745
2018,"DEN",679,384,3930,1916,1.76822916666667,214,75,25,15,239,90,0.376569037656904,679,34,0.0500736377025037,460,1063,0.432737535277516
2018,"DET",672,396,3844,1670,1.6969696969697,221,84,18,11,239,95,0.397489539748954,672,41,0.0610119047619048,441,1068,0.412921348314607
2018,"GB",770,297,4629,1673,2.59259259259259,222,83,20,10,242,93,0.384297520661157,770,53,0.0688311688311688,491,1067,0.460168697282099
2018,"HOU",724,423,4400,2136,1.71158392434988,236,91,18,10,254,101,0.397637795275591,724,65,0.0897790055248619,509,1147,0.443766346992153
2018,"IND",808,424,5020,2031,1.90566037735849,244,123,15,8,259,131,0.505791505791506,808,21,0.025990099009901,590,1232,0.478896103896104
2018,"JAX",668,367,3431,1729,1.82016348773842,237,97,17,8,254,105,0.413385826771654,668,53,0.0793413173652695,417,1035,0.402898550724638
2018,"KC",771,394,5699,2088,1.95685279187817,210,98,19,15,229,113,0.493449781659389,771,34,0.0440985732814527,575,1165,0.493562231759657
2018,"LA",774,512,5454,2672,1.51171875,236,104,19,10,255,114,0.447058823529412,774,38,0.0490956072351421,642,1286,0.499222395023328
2018,"LAC",683,435,4807,1996,1.57011494252874,217,88,11,10,228,98,0.429824561403509,683,37,0.0541727672035139,519,1118,0.464221824686941
2018,"LV",643,380,4057,1640,1.69210526315789,204,80,17,7,221,87,0.393665158371041,643,52,0.0808709175738725,458,1023,0.447702834799609
2018,"MIA",551,357,3309,1749,1.54341736694678,194,61,13,8,207,69,0.333333333333333,551,52,0.0943738656987296,365,908,0.401982378854626
2018,"MIN",696,343,4298,1499,2.02915451895044,215,83,21,9,236,92,0.389830508474576,696,40,0.0574712643678161,450,1039,0.433108758421559
2018,"NE",762,582,5358,2544,1.30927835051546,259,116,18,9,277,125,0.451263537906137,762,22,0.0288713910761155,638,1344,0.474702380952381
